sample_idx,w_max10_mean,w_max10_std,cp_fraction,recovery_rate,k_aero,c_roll,ref_speed_frac,k_s,breakaway_speed_frac,breakaway_cooldown_steps,utility_decay,evo_noise,sim_scale,evo_bottom_frac,evo_top_frac,imitation_mu,n_agents,n_teams
10,550.0,79.33333333333333,0.6666666666666666,0.05,1.0,3.0,0.8,0.7999999999999999,1.0,2.0,1.0,0.03333333333333334,1.5,0.4,0.3,0.3,80.0,24.0
11,550.0,79.33333333333333,0.6666666666666666,0.05,1.0,5.0,0.8,0.7999999999999999,1.0,2.0,1.0,0.03333333333333334,1.5,0.4,0.3,0.3,80.0,24.0
12,550.0,79.33333333333333,0.6666666666666666,0.05,1.0,5.0,0.8,0.7999999999999999,1.0,2.0,1.0,0.1,1.5,0.4,0.3,0.3,80.0,24.0
13,416.6666666666667,79.33333333333333,0.6666666666666666,0.05,1.0,5.0,0.8,0.7999999999999999,1.0,2.0,1.0,0.1,1.5,0.4,0.3,0.3,80.0,24.0
14,416.6666666666667,79.33333333333333,0.6666666666666666,0.05,1.0,5.0,0.8,0.7999999999999999,0.9,2.0,1.0,0.1,1.5,0.4,0.3,0.3,80.0,24.0
15,416.6666666666667,79.33333333333333,0.6666666666666666,0.05,1.0,5.0,0.8,0.7999999999999999,0.9,2.0,0.4,0.1,1.5,0.4,0.3,0.3,80.0,24.0
16,416.6666666666667,34.0,0.6666666666666666,0.05,1.0,5.0,0.8,0.7999999999999999,0.9,2.0,0.4,0.1,1.5,0.4,0.3,0.3,80.0,24.0
17,416.6666666666667,34.0,0.6666666666666666,0.05,1.0,5.0,0.8,0.7999999999999999,0.9,2.0,0.4,0.1,1.5,0.4,0.3,0.7666666666666666,80.0,24.0
18,416.6666666666667,34.0,0.6666666666666666,0.05,1.0,5.0,0.8,0.7999999999999999,0.9,2.0,0.4,0.1,0.5,0.4,0.3,0.7666666666666666,80.0,24.0
19,416.6666666666667,102.0,0.6,0.05,1.0,3.0,0.85,1.0,0.85,14.0,1.0,0.1,0.5,0.1,0.13333333333333336,1.0,192.0,24.0
20,416.6666666666667,102.0,0.6,0.05,1.0,3.0,0.85,0.7999999999999999,0.85,14.0,1.0,0.1,0.5,0.1,0.13333333333333336,1.0,192.0,24.0
21,416.6666666666667,102.0,0.6,0.05,1.0,3.0,0.85,0.7999999999999999,0.85,14.0,1.0,0.1,0.5,0.30000000000000004,0.13333333333333336,1.0,192.0,24.0
22,416.6666666666667,102.0,0.6,0.15000000000000002,1.0,3.0,0.85,0.7999999999999999,0.85,14.0,1.0,0.1,0.5,0.30000000000000004,0.13333333333333336,1.0,192.0,24.0
23,416.6666666666667,102.0,0.6,0.15000000000000002,1.0,3.0,0.85,0.7999999999999999,0.85,14.0,1.0,0.1,1.5,0.30000000000000004,0.13333333333333336,1.0,192.0,24.0
24,550.0,102.0,0.6,0.15000000000000002,1.0,3.0,0.85,0.7999999999999999,0.85,14.0,1.0,0.1,1.5,0.30000000000000004,0.13333333333333336,1.0,192.0,24.0
25,550.0,102.0,0.6,0.15000000000000002,1.0,3.0,0.85,0.7999999999999999,0.85,14.0,1.0,0.1,1.5,0.30000000000000004,0.13333333333333336,1.0,192.0,10.666666666666668
26,550.0,102.0,0.6,0.15000000000000002,1.0,3.0,0.85,0.7999999999999999,0.85,14.0,0.4,0.1,1.5,0.30000000000000004,0.13333333333333336,1.0,192.0,10.666666666666668
27,550.0,56.66666666666667,0.6,0.15000000000000002,1.0,3.0,0.85,0.7999999999999999,0.85,14.0,0.4,0.1,1.5,0.30000000000000004,0.13333333333333336,1.0,192.0,10.666666666666668
28,550.0,56.66666666666667,0.6,0.15000000000000002,1.0,3.0,0.85,0.7999999999999999,0.95,14.0,0.4,0.1,1.5,0.30000000000000004,0.13333333333333336,1.0,192.0,10.666666666666668
29,550.0,56.66666666666667,0.6,0.15000000000000002,1.0,5.0,0.85,0.7999999999999999,0.95,14.0,0.4,0.1,1.5,0.30000000000000004,0.13333333333333336,1.0,192.0,10.666666666666668
30,550.0,56.66666666666667,0.6,0.15000000000000002,1.0,5.0,0.85,0.7999999999999999,0.95,14.0,0.4,0.1,1.5,0.30000000000000004,0.13333333333333336,1.0,80.0,10.666666666666668
31,550.0,56.66666666666667,0.6,0.15000000000000002,1.0,5.0,0.85,0.7999999999999999,0.95,14.0,0.4,0.1,1.5,0.30000000000000004,0.3,1.0,80.0,10.666666666666668
32,550.0,56.66666666666667,0.6,0.15000000000000002,1.0,5.0,0.85,0.7999999999999999,0.95,14.0,0.4,0.1,1.5,0.30000000000000004,0.3,0.5333333333333333,80.0,10.666666666666668
33,550.0,56.66666666666667,0.6,0.15000000000000002,1.0,5.0,0.85,0.7999999999999999,0.95,2.0,0.4,0.1,1.5,0.30000000000000004,0.3,0.5333333333333333,80.0,10.666666666666668
34,550.0,56.66666666666667,0.6,0.15000000000000002,1.0,5.0,0.95,0.7999999999999999,0.95,2.0,0.4,0.1,1.5,0.30000000000000004,0.3,0.5333333333333333,80.0,10.666666666666668
35,550.0,56.66666666666667,0.6,0.15000000000000002,0.6,5.0,0.95,0.7999999999999999,0.95,2.0,0.4,0.1,1.5,0.30000000000000004,0.3,0.5333333333333333,80.0,10.666666666666668
36,550.0,56.66666666666667,0.6,0.15000000000000002,0.6,5.0,0.95,0.7999999999999999,0.95,2.0,0.4,0.03333333333333334,1.5,0.30000000000000004,0.3,0.5333333333333333,80.0,10.666666666666668
37,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.6,5.0,0.95,0.7999999999999999,0.95,2.0,0.4,0.03333333333333334,1.5,0.30000000000000004,0.3,0.5333333333333333,80.0,10.666666666666668
38,483.3333333333333,34.0,0.6666666666666666,0.1,1.2,4.0,0.8,0.7999999999999999,1.0,14.0,1.0,0.0,0.5,0.2,0.05,1.0,24.0,10.666666666666668
39,350.0,34.0,0.6666666666666666,0.1,1.2,4.0,0.8,0.7999999999999999,1.0,14.0,1.0,0.0,0.5,0.2,0.05,1.0,24.0,10.666666666666668
40,350.0,34.0,0.6666666666666666,0.1,1.2,4.0,0.8,0.7999999999999999,1.0,14.0,1.0,0.0,1.5,0.2,0.05,1.0,24.0,10.666666666666668
41,350.0,34.0,0.6666666666666666,0.1,1.2,4.0,0.8,0.7999999999999999,1.0,14.0,1.0,0.0,1.5,0.2,0.05,1.0,24.0,24.0
42,350.0,34.0,0.6666666666666666,0.2,1.2,4.0,0.8,0.7999999999999999,1.0,14.0,1.0,0.0,1.5,0.2,0.05,1.0,24.0,24.0
43,350.0,34.0,0.6666666666666666,0.2,1.2,4.0,0.8,1.0,1.0,14.0,1.0,0.0,1.5,0.2,0.05,1.0,24.0,24.0
44,350.0,34.0,0.6666666666666666,0.2,1.2,4.0,0.8,1.0,1.0,14.0,1.0,0.06666666666666667,1.5,0.2,0.05,1.0,24.0,24.0
45,350.0,34.0,0.6666666666666666,0.2,1.2,4.0,0.8,1.0,1.0,14.0,1.0,0.06666666666666667,1.5,0.2,0.05,0.5333333333333333,24.0,24.0
46,350.0,34.0,0.6666666666666666,0.2,1.2,4.0,0.8,1.0,0.9,14.0,1.0,0.06666666666666667,1.5,0.2,0.05,0.5333333333333333,24.0,24.0
47,350.0,34.0,0.6666666666666666,0.2,1.2,4.0,0.9,1.0,0.9,14.0,1.0,0.06666666666666667,1.5,0.2,0.05,0.5333333333333333,24.0,24.0
48,350.0,34.0,0.6666666666666666,0.2,1.2,4.0,0.9,1.0,0.9,14.0,0.4,0.06666666666666667,1.5,0.2,0.05,0.5333333333333333,24.0,24.0
49,350.0,34.0,0.6666666666666666,0.2,1.2,4.0,0.9,1.0,0.9,14.0,0.4,0.06666666666666667,1.5,0.2,0.05,0.5333333333333333,136.0,24.0
50,350.0,34.0,0.6666666666666666,0.2,0.8,4.0,0.9,1.0,0.9,14.0,0.4,0.06666666666666667,1.5,0.2,0.05,0.5333333333333333,136.0,24.0
51,350.0,34.0,0.6666666666666666,0.2,0.8,4.0,0.9,1.0,0.9,2.0,0.4,0.06666666666666667,1.5,0.2,0.05,0.5333333333333333,136.0,24.0
52,350.0,34.0,0.6666666666666666,0.2,0.8,4.0,0.9,1.0,0.9,2.0,0.4,0.06666666666666667,1.5,0.2,0.21666666666666667,0.5333333333333333,136.0,24.0
53,350.0,34.0,0.6666666666666666,0.2,0.8,4.0,0.9,1.0,0.9,2.0,0.4,0.06666666666666667,1.5,0.4,0.21666666666666667,0.5333333333333333,136.0,24.0
54,350.0,79.33333333333333,0.6666666666666666,0.2,0.8,4.0,0.9,1.0,0.9,2.0,0.4,0.06666666666666667,1.5,0.4,0.21666666666666667,0.5333333333333333,136.0,24.0
55,350.0,79.33333333333333,0.8,0.2,0.8,4.0,0.9,1.0,0.9,2.0,0.4,0.06666666666666667,1.5,0.4,0.21666666666666667,0.5333333333333333,136.0,24.0
56,350.0,79.33333333333333,0.8,0.2,0.8,2.0,0.9,1.0,0.9,2.0,0.4,0.06666666666666667,1.5,0.4,0.21666666666666667,0.5333333333333333,136.0,24.0
57,416.6666666666667,34.0,0.6,0.2,1.2,2.0,0.95,0.8999999999999999,1.0,14.0,0.4,0.1,0.5,0.2,0.05,0.7666666666666666,24.0,4.0
58,416.6666666666667,34.0,0.6,0.2,1.2,2.0,0.95,0.8999999999999999,1.0,14.0,0.4,0.1,1.5,0.2,0.05,0.7666666666666666,24.0,4.0
59,416.6666666666667,34.0,0.6,0.2,1.2,2.0,0.95,0.8999999999999999,1.0,14.0,0.4,0.1,1.5,0.4,0.05,0.7666666666666666,24.0,4.0
60,416.6666666666667,34.0,0.6,0.2,1.2,2.0,0.95,0.8999999999999999,1.0,14.0,0.4,0.1,1.5,0.4,0.05,0.7666666666666666,136.0,4.0
61,416.6666666666667,34.0,0.6,0.2,1.2,2.0,0.95,0.8999999999999999,1.0,14.0,0.4,0.1,1.5,0.4,0.05,0.7666666666666666,136.0,17.333333333333332
62,416.6666666666667,34.0,0.6,0.2,1.2,2.0,0.95,0.7,1.0,14.0,0.4,0.1,1.5,0.4,0.05,0.7666666666666666,136.0,17.333333333333332
63,416.6666666666667,34.0,0.6,0.2,1.2,2.0,0.95,0.7,1.0,14.0,0.4,0.1,1.5,0.4,0.05,0.3,136.0,17.333333333333332
64,416.6666666666667,34.0,0.6,0.2,0.8,2.0,0.95,0.7,1.0,14.0,0.4,0.1,1.5,0.4,0.05,0.3,136.0,17.333333333333332
65,416.6666666666667,34.0,0.6,0.2,0.8,2.0,0.95,0.7,1.0,14.0,0.4,0.03333333333333334,1.5,0.4,0.05,0.3,136.0,17.333333333333332
66,416.6666666666667,34.0,0.6,0.2,0.8,2.0,0.95,0.7,1.0,14.0,0.4,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
67,416.6666666666667,34.0,0.6,0.2,0.8,4.0,0.95,0.7,1.0,14.0,0.4,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
68,416.6666666666667,34.0,0.6,0.1,0.8,4.0,0.95,0.7,1.0,14.0,0.4,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
69,416.6666666666667,34.0,0.7333333333333334,0.1,0.8,4.0,0.95,0.7,1.0,14.0,0.4,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
70,416.6666666666667,34.0,0.7333333333333334,0.1,0.8,4.0,0.95,0.7,1.0,2.0,0.4,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
71,416.6666666666667,34.0,0.7333333333333334,0.1,0.8,4.0,0.95,0.7,1.0,2.0,1.0,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
72,416.6666666666667,34.0,0.7333333333333334,0.1,0.8,4.0,0.85,0.7,1.0,2.0,1.0,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
73,416.6666666666667,34.0,0.7333333333333334,0.1,0.8,4.0,0.85,0.7,0.9,2.0,1.0,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
74,416.6666666666667,79.33333333333333,0.7333333333333334,0.1,0.8,4.0,0.85,0.7,0.9,2.0,1.0,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
75,550.0,79.33333333333333,0.7333333333333334,0.1,0.8,4.0,0.85,0.7,0.9,2.0,1.0,0.03333333333333334,1.5,0.4,0.21666666666666667,0.3,136.0,17.333333333333332
76,550.0,56.66666666666667,0.8,0.05,1.2,3.0,0.95,0.8999999999999999,0.85,20.0,0.1,0.03333333333333334,1.0,0.2,0.13333333333333336,0.5333333333333333,136.0,24.0
77,550.0,56.66666666666667,0.8,0.05,1.2,5.0,0.95,0.8999999999999999,0.85,20.0,0.1,0.03333333333333334,1.0,0.2,0.13333333333333336,0.5333333333333333,136.0,24.0
78,550.0,56.66666666666667,0.8,0.05,1.2,5.0,0.95,0.8999999999999999,0.85,20.0,0.1,0.03333333333333334,1.0,0.2,0.13333333333333336,0.5333333333333333,136.0,10.666666666666668
79,550.0,56.66666666666667,0.6666666666666666,0.05,1.2,5.0,0.95,0.8999999999999999,0.85,20.0,0.1,0.03333333333333334,1.0,0.2,0.13333333333333336,0.5333333333333333,136.0,10.666666666666668
80,550.0,56.66666666666667,0.6666666666666666,0.15000000000000002,1.2,5.0,0.95,0.8999999999999999,0.85,20.0,0.1,0.03333333333333334,1.0,0.2,0.13333333333333336,0.5333333333333333,136.0,10.666666666666668
81,550.0,56.66666666666667,0.6666666666666666,0.15000000000000002,1.2,5.0,0.95,0.8999999999999999,0.85,20.0,0.1,0.03333333333333334,1.0,0.2,0.3,0.5333333333333333,136.0,10.666666666666668
82,550.0,56.66666666666667,0.6666666666666666,0.15000000000000002,1.2,5.0,0.95,0.8999999999999999,0.85,20.0,0.1,0.03333333333333334,2.0,0.2,0.3,0.5333333333333333,136.0,10.666666666666668
83,550.0,56.66666666666667,0.6666666666666666,0.15000000000000002,1.2,5.0,0.95,0.8999999999999999,0.85,20.0,0.1,0.1,2.0,0.2,0.3,0.5333333333333333,136.0,10.666666666666668
84,550.0,56.66666666666667,0.6666666666666666,0.15000000000000002,1.2,5.0,0.85,0.8999999999999999,0.85,20.0,0.1,0.1,2.0,0.2,0.3,0.5333333333333333,136.0,10.666666666666668
85,550.0,102.0,0.6666666666666666,0.15000000000000002,1.2,5.0,0.85,0.8999999999999999,0.85,20.0,0.1,0.1,2.0,0.2,0.3,0.5333333333333333,136.0,10.666666666666668
86,550.0,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.8999999999999999,0.85,20.0,0.1,0.1,2.0,0.2,0.3,0.5333333333333333,136.0,10.666666666666668
87,550.0,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.8999999999999999,0.85,20.0,0.1,0.1,2.0,0.2,0.3,0.5333333333333333,24.0,10.666666666666668
88,550.0,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.8999999999999999,0.85,20.0,0.1,0.1,2.0,0.2,0.3,1.0,24.0,10.666666666666668
89,550.0,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.8999999999999999,0.85,20.0,0.7,0.1,2.0,0.2,0.3,1.0,24.0,10.666666666666668
90,416.6666666666667,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.8999999999999999,0.85,20.0,0.7,0.1,2.0,0.2,0.3,1.0,24.0,10.666666666666668
91,416.6666666666667,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.7,0.85,20.0,0.7,0.1,2.0,0.2,0.3,1.0,24.0,10.666666666666668
92,416.6666666666667,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.7,0.85,20.0,0.7,0.1,2.0,0.4,0.3,1.0,24.0,10.666666666666668
93,416.6666666666667,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.7,0.85,8.0,0.7,0.1,2.0,0.4,0.3,1.0,24.0,10.666666666666668
94,416.6666666666667,102.0,0.6666666666666666,0.15000000000000002,0.8,5.0,0.85,0.7,0.95,8.0,0.7,0.1,2.0,0.4,0.3,1.0,24.0,10.666666666666668
95,416.6666666666667,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,5.0,0.85,0.7999999999999999,1.0,20.0,0.1,0.03333333333333334,0.5,0.30000000000000004,0.13333333333333336,0.3,24.0,10.666666666666668
96,416.6666666666667,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,5.0,0.95,0.7999999999999999,1.0,20.0,0.1,0.03333333333333334,0.5,0.30000000000000004,0.13333333333333336,0.3,24.0,10.666666666666668
97,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,5.0,0.95,0.7999999999999999,1.0,20.0,0.1,0.03333333333333334,0.5,0.30000000000000004,0.13333333333333336,0.3,24.0,10.666666666666668
98,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,5.0,0.95,0.7999999999999999,1.0,20.0,0.1,0.03333333333333334,0.5,0.30000000000000004,0.13333333333333336,0.3,24.0,24.0
99,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,5.0,0.95,0.7999999999999999,1.0,20.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.13333333333333336,0.3,24.0,24.0
100,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,5.0,0.95,1.0,1.0,20.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.13333333333333336,0.3,24.0,24.0
101,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,5.0,0.95,1.0,1.0,20.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.13333333333333336,0.7666666666666666,24.0,24.0
102,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,5.0,0.95,1.0,1.0,20.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.3,0.7666666666666666,24.0,24.0
103,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,3.0,0.95,1.0,1.0,20.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.3,0.7666666666666666,24.0,24.0
104,550.0,56.66666666666667,0.7333333333333334,0.15000000000000002,0.8,3.0,0.95,1.0,0.9,20.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.3,0.7666666666666666,24.0,24.0
105,550.0,56.66666666666667,0.7333333333333334,0.05,0.8,3.0,0.95,1.0,0.9,20.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.3,0.7666666666666666,24.0,24.0
106,550.0,56.66666666666667,0.6,0.05,0.8,3.0,0.95,1.0,0.9,20.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.3,0.7666666666666666,24.0,24.0
107,550.0,56.66666666666667,0.6,0.05,0.8,3.0,0.95,1.0,0.9,8.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.3,0.7666666666666666,24.0,24.0
108,550.0,56.66666666666667,0.6,0.05,0.8,3.0,0.95,1.0,0.9,8.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.3,0.7666666666666666,136.0,24.0
109,550.0,102.0,0.6,0.05,0.8,3.0,0.95,1.0,0.9,8.0,0.1,0.03333333333333334,1.5,0.30000000000000004,0.3,0.7666666666666666,136.0,24.0
110,550.0,102.0,0.6,0.05,0.8,3.0,0.95,1.0,0.9,8.0,0.1,0.1,1.5,0.30000000000000004,0.3,0.7666666666666666,136.0,24.0
111,550.0,102.0,0.6,0.05,1.2,3.0,0.95,1.0,0.9,8.0,0.1,0.1,1.5,0.30000000000000004,0.3,0.7666666666666666,136.0,24.0
112,550.0,102.0,0.6,0.05,1.2,3.0,0.95,1.0,0.9,8.0,0.7,0.1,1.5,0.30000000000000004,0.3,0.7666666666666666,136.0,24.0
113,550.0,102.0,0.6,0.05,1.2,3.0,0.95,1.0,0.9,8.0,0.7,0.1,1.5,0.1,0.3,0.7666666666666666,136.0,24.0
114,483.3333333333333,34.0,0.8,0.1,1.0,5.0,0.85,0.7999999999999999,0.85,14.0,0.1,0.06666666666666667,0.5,0.30000000000000004,0.21666666666666667,0.3,136.0,24.0
115,483.3333333333333,34.0,0.8,0.1,0.6,5.0,0.85,0.7999999999999999,0.85,14.0,0.1,0.06666666666666667,0.5,0.30000000000000004,0.21666666666666667,0.3,136.0,24.0
116,483.3333333333333,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,0.7999999999999999,0.85,14.0,0.1,0.06666666666666667,0.5,0.30000000000000004,0.21666666666666667,0.3,136.0,24.0
117,483.3333333333333,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,0.7999999999999999,0.85,14.0,0.1,0.06666666666666667,0.5,0.1,0.21666666666666667,0.3,136.0,24.0
118,483.3333333333333,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.85,14.0,0.1,0.06666666666666667,0.5,0.1,0.21666666666666667,0.3,136.0,24.0
119,483.3333333333333,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.85,14.0,0.1,0.06666666666666667,0.5,0.1,0.21666666666666667,0.3,136.0,10.666666666666668
120,483.3333333333333,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.85,2.0,0.1,0.06666666666666667,0.5,0.1,0.21666666666666667,0.3,136.0,10.666666666666668
121,483.3333333333333,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.85,2.0,0.1,0.06666666666666667,0.5,0.1,0.21666666666666667,0.7666666666666666,136.0,10.666666666666668
122,483.3333333333333,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.85,2.0,0.1,0.0,0.5,0.1,0.21666666666666667,0.7666666666666666,136.0,10.666666666666668
123,350.0,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.85,2.0,0.1,0.0,0.5,0.1,0.21666666666666667,0.7666666666666666,136.0,10.666666666666668
124,350.0,34.0,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.95,2.0,0.1,0.0,0.5,0.1,0.21666666666666667,0.7666666666666666,136.0,10.666666666666668
125,350.0,79.33333333333333,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.95,2.0,0.1,0.0,0.5,0.1,0.21666666666666667,0.7666666666666666,136.0,10.666666666666668
126,350.0,79.33333333333333,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.95,2.0,0.1,0.0,0.5,0.1,0.05,0.7666666666666666,136.0,10.666666666666668
127,350.0,79.33333333333333,0.6666666666666666,0.1,0.6,5.0,0.85,1.0,0.95,2.0,0.7,0.0,0.5,0.1,0.05,0.7666666666666666,136.0,10.666666666666668
128,350.0,79.33333333333333,0.6666666666666666,0.1,0.6,3.0,0.85,1.0,0.95,2.0,0.7,0.0,0.5,0.1,0.05,0.7666666666666666,136.0,10.666666666666668
129,350.0,79.33333333333333,0.6666666666666666,0.2,0.6,3.0,0.85,1.0,0.95,2.0,0.7,0.0,0.5,0.1,0.05,0.7666666666666666,136.0,10.666666666666668
130,350.0,79.33333333333333,0.6666666666666666,0.2,0.6,3.0,0.85,1.0,0.95,2.0,0.7,0.0,0.5,0.1,0.05,0.7666666666666666,24.0,10.666666666666668
131,350.0,79.33333333333333,0.6666666666666666,0.2,0.6,3.0,0.85,1.0,0.95,2.0,0.7,0.0,1.5,0.1,0.05,0.7666666666666666,24.0,10.666666666666668
132,350.0,79.33333333333333,0.6666666666666666,0.2,0.6,3.0,0.95,1.0,0.95,2.0,0.7,0.0,1.5,0.1,0.05,0.7666666666666666,24.0,10.666666666666668
133,483.3333333333333,79.33333333333333,0.8,0.15000000000000002,0.8,2.0,0.85,0.7999999999999999,0.95,2.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.7666666666666666,24.0,17.333333333333332
134,483.3333333333333,79.33333333333333,0.8,0.15000000000000002,0.8,2.0,0.85,0.7999999999999999,0.95,2.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.7666666666666666,136.0,17.333333333333332
135,483.3333333333333,79.33333333333333,0.8,0.15000000000000002,0.8,2.0,0.85,0.7999999999999999,0.95,2.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,136.0,17.333333333333332
136,483.3333333333333,79.33333333333333,0.8,0.15000000000000002,0.8,2.0,0.85,0.7999999999999999,0.95,2.0,1.0,0.03333333333333334,1.5,0.4,0.3,0.3,136.0,17.333333333333332
137,483.3333333333333,79.33333333333333,0.8,0.05,0.8,2.0,0.85,0.7999999999999999,0.95,2.0,1.0,0.03333333333333334,1.5,0.4,0.3,0.3,136.0,17.333333333333332
138,483.3333333333333,79.33333333333333,0.8,0.05,0.8,2.0,0.85,0.7999999999999999,0.95,2.0,1.0,0.1,1.5,0.4,0.3,0.3,136.0,17.333333333333332
139,350.0,79.33333333333333,0.8,0.05,0.8,2.0,0.85,0.7999999999999999,0.95,2.0,1.0,0.1,1.5,0.4,0.3,0.3,136.0,17.333333333333332
140,350.0,79.33333333333333,0.8,0.05,0.8,2.0,0.85,0.7999999999999999,0.95,2.0,1.0,0.1,1.5,0.4,0.13333333333333336,0.3,136.0,17.333333333333332
141,350.0,79.33333333333333,0.8,0.05,0.8,2.0,0.85,1.0,0.95,2.0,1.0,0.1,1.5,0.4,0.13333333333333336,0.3,136.0,17.333333333333332
142,350.0,79.33333333333333,0.8,0.05,0.8,2.0,0.95,1.0,0.95,2.0,1.0,0.1,1.5,0.4,0.13333333333333336,0.3,136.0,17.333333333333332
143,350.0,79.33333333333333,0.8,0.05,0.8,2.0,0.95,1.0,0.95,14.0,1.0,0.1,1.5,0.4,0.13333333333333336,0.3,136.0,17.333333333333332
144,350.0,79.33333333333333,0.8,0.05,0.8,2.0,0.95,1.0,0.85,14.0,1.0,0.1,1.5,0.4,0.13333333333333336,0.3,136.0,17.333333333333332
